event_date,country,platform,dau,total_iap_revenue,total_ad_revenue,arpdau,matches_started,match_per_dau,win_ratio,defeat_ratio,server_error_per_dau
2024-02-23,Kyrgyzstan,android,608,1.07,1.74,0.0,2284,3.76,0.7069,0.2931,0.07
2024-02-23,Kosovo,android,328,0.0,0.6,0.0,1242,3.79,0.6057,0.3943,0.05
2024-02-23,Nepal,android,42,0.0,0.17,0.0,163,3.88,0.6776,0.3224,0.0
2024-02-23,Ecuador,android,331,0.0,1.33,0.0,1428,4.31,0.6533,0.3467,0.11
2024-02-23,Iraq,android,544,0.46,1.31,0.0,1472,2.71,0.6337,0.3663,0.01
2024-02-23,Aruba,android,1,0.0,0.0,0.0,1,1.0,,,0.0
2024-02-23,Syria,android,92,0.0,0.2,0.0,298,3.24,0.6199,0.3801,0.04
2024-02-23,Nicaragua,android,23,0.0,0.03,0.0,71,3.09,0.7231,0.2769,0.0
2024-02-23,Montenegro,android,120,0.0,0.39,0.0,650,5.42,0.5655,0.4345,0.01
2024-02-23,Armenia,android,225,0.0,0.82,0.0,1135,5.04,0.6095,0.3905,0.03
2024-02-23,Fiji,android,3,0.0,0.0,0.0,7,2.33,0.8571,0.1429,0.0
2024-02-23,Bangladesh,android,138,0.0,0.43,0.0,425,3.08,0.661,0.339,0.0
2024-02-23,Guyana,android,23,0.0,0.04,0.0,61,2.65,0.6964,0.3036,0.0
2024-02-23,Morocco,android,183,0.0,0.53,0.0,848,4.63,0.6206,0.3794,0.07
2024-02-23,Senegal,android,19,0.0,0.03,0.0,29,1.53,0.7308,0.2692,0.0
2024-02-23,Myanmar (Burma),android,160,0.0,0.3,0.0,549,3.43,0.7495,0.2505,0.01
2024-02-23,Jamaica,android,24,0.0,0.1,0.0,113,4.71,0.4815,0.5185,0.04
2024-02-23,Somalia,android,14,0.0,0.01,0.0,24,1.71,0.6818,0.3182,0.0
2024-02-23,Dominica,android,2,0.0,0.0,0.0,6,3.0,1.0,0.0,0.0
2024-02-23,Côte d’Ivoire,android,24,0.0,0.11,0.0,83,3.46,0.7397,0.2603,0.04
2024-02-23,Honduras,android,46,0.0,0.03,0.0,81,1.76,0.6716,0.3284,0.11
2024-02-23,Vanuatu,android,1,0.0,0.0,0.0,2,2.0,0.5,0.5,0.0
2024-02-23,Cameroon,android,6,0.0,0.0,0.0,3,0.5,0.5,0.5,0.17
2024-02-23,Western Sahara,android,5,0.0,0.02,0.0,31,6.2,0.3846,0.6154,0.0
2024-02-23,Guinea-Bissau,android,1,0.0,0.0,0.0,0,0.0,,,0.0
2024-02-23,Trinidad & Tobago,android,28,0.0,0.02,0.0,46,1.64,0.6842,0.3158,0.0
2024-02-23,Curaçao,android,3,0.0,0.01,0.0,8,2.67,0.3333,0.6667,0.0
2024-02-23,Zimbabwe,android,5,0.0,0.01,0.0,34,6.8,0.3548,0.6452,0.0
2024-02-23,Réunion,android,20,0.0,0.04,0.0,81,4.05,0.75,0.25,0.05
